id,titulo,categoria,tipo_contratacao,palavras_chave,causa,consequencia,probabilidade_padrao,impacto_padrao,acao_preventiva,acao_contingencia,responsavel_sugerido
R001,Especificacao tecnica insuficiente,planejamento,aquisicao;servico;software,termo de referencia;especificacao;requisitos;objeto,Levantamento incompleto das necessidades da area demandante,Contratacao de solucao inadequada ou necessidade de aditivos,3-Média,4-Alto,Validar requisitos com areas usuarias e equipe tecnica antes da aprovacao do termo de referencia,Revisar especificacoes e submeter ajuste formal ao planejamento da contratacao,Area demandante e equipe tecnica
R002,Estimativa de preco inconsistente,planejamento,aquisicao;servico;software,valor estimado;pesquisa de precos;orcamento,Pesquisa de precos insuficiente ou sem comparabilidade,Preco estimado inadequado e risco de fracasso ou sobrepreco,3-Média,4-Alto,Usar fontes diversificadas e justificar criterios de comparabilidade,Refazer pesquisa de precos e ajustar estimativa antes da fase externa,Equipe de planejamento
R003,Indisponibilidade de fornecedores qualificados,selecao,aquisicao;servico,mercado;fornecedor;competitividade,Restricao excessiva de requisitos ou mercado reduzido,Baixa competitividade ou licitacao deserta,3-Média,3-Médio,Realizar analise de mercado e revisar exigencias restritivas,Reavaliar estrategia de contratacao e republicar com ajustes,Equipe de planejamento
R004,Atraso na entrega ou implantacao,cronograma,aquisicao;servico;software,prazo;cronograma;implantacao;entrega,Cronograma subestimado ou dependencia de terceiros,Atraso no atendimento da necessidade institucional,3-Média,4-Alto,Definir cronograma realista e marcos de acompanhamento,Aplicar medidas contratuais e plano de transicao operacional,Gestor do contrato
R005,Falha na aceitacao tecnica,gestao,aquisicao;software,aceitacao;homologacao;teste;qualidade,Criterios de aceite incompletos ou testes insuficientes,Recebimento de produto ou servico em desconformidade,3-Média,4-Alto,Definir criterios objetivos de aceite e roteiro de homologacao,Registrar nao conformidade e exigir correcao ou substituicao,Fiscal tecnico
R006,Risco de seguranca da informacao,solucao,software;servico,seguranca;dados;privacidade;acesso;lgpd,Controles de seguranca nao especificados ou mal avaliados,Exposicao de dados ou vulnerabilidade institucional,3-Média,4-Alto,Incluir requisitos de seguranca e conformidade no planejamento,Acionar resposta a incidente e revisar controles contratuais,Seguranca da informacao
R007,Dependencia excessiva do fornecedor,gestao,software;servico,suporte;manutencao;vendor lock-in;dependencia,Ausencia de estrategia de transicao ou documentacao tecnica,Dificuldade de continuidade ou substituicao da solucao,3-Média,3-Médio,Exigir documentacao tecnica transferencia de conhecimento e padroes abertos,Preparar plano de transicao e transferencia para outro fornecedor,Gestor do contrato
R008,Capacidade operacional insuficiente da area demandante,planejamento,servico;software,equipe;gestao;operacao;capacidade,Falta de equipe interna para acompanhar implantacao ou operacao,Baixa efetividade da contratacao mesmo com entrega adequada,2-Baixa,3-Médio,Confirmar disponibilidade de equipe e responsabilidades antes da contratacao,Repriorizar atividades e solicitar apoio temporario de areas correlatas,Area demandante
R009,Estabelecimento de requisitos que limitem a competição,planejamento,aquisicao;servico;software,requisitos;competitividade;restricao;edital;impugnacao,Definição de requisitos técnicos sem justificativa suficiente ou com baixa aderência ao mercado,"Questionamentos de fornecedores, impugnações, atraso no processo e contratação com custo superior ao planejado",2-Baixa,4-Alto,"Justificar tecnicamente cada requisito restritivo e envolver área demandante, equipe técnica e mercado na etapa de planejamento","Revisar requisitos impugnados, reforçar justificativas técnicas e republicar os artefatos quando necessário",Equipe de planejamento
R010,Definição inadequada de quantidades ou requisitos da contratação,planejamento,aquisicao;servico;software,quantidade;volumetria;memoria de calculo;requisitos;dimensionamento,"Memória de cálculo incompleta, estimativa de demanda imprecisa ou requisitos funcionais mal dimensionados","Quantidade insuficiente, desperdício de recursos, necessidade de aditivos ou nova contratação",3-Média,4-Alto,"Documentar método de cálculo, validar volumetria com a área demandante e registrar premissas no Estudo Técnico","Avaliar aditivo, remanejamento de saldo ou nova contratação para recomposição da demanda",Equipe de planejamento
